id;code;country_flag;position;status;created_by;created_date;last_modified_by;last_modified_date
1;arc;transmit;95413;INACTIVE;bluetooth Orchestrator Brand;2022-03-13T18:37:41;Skyway ADP;2022-03-13T15:51:27
2;Unb;olive modular Hong;96719;INACTIVE;Account;2022-03-14T03:12:25;Engineer Beauty engage;2022-03-14T06:49:33
3;Bea;neural;91501;INACTIVE;Home;2022-03-14T04:11:21;Salad;2022-03-13T12:59:37
4;For;National;95354;ACTIVE;alarm Dalasi back;2022-03-14T08:52:41;Future;2022-03-13T23:10:26
5;Clo;Squares web-enabled Sports;25649;INACTIVE;backing quantifying;2022-03-14T07:19:45;Sleek Chips Officer;2022-03-14T10:19:19
6;onl;Sausages Compatible Fresh;18255;INACTIVE;Persistent;2022-03-14T07:46:04;HDD JSON Lithuanian;2022-03-13T19:33:22
7;syn;deposit Consultant Course;53295;ACTIVE;Mouse Producer programming;2022-03-14T00:25:44;navigating French Bhutan;2022-03-14T06:23:49
8;bus;Handcrafted;38328;INACTIVE;Future Georgia;2022-03-14T06:03:19;Australian red Cambridgeshire;2022-03-14T09:25:11
9;Acc;solid Pizza;96678;INACTIVE;Island;2022-03-13T10:54:28;Unbranded connect;2022-03-13T17:07:22
10;blu;cross-platform Licensed neutral;26364;INACTIVE;US indigo Music;2022-03-14T01:08:22;Car Buckinghamshire experiences;2022-03-13T10:46:40
