id;amount;status;due_date;description;debt_score;created_by;created_date;last_modified_by;last_modified_date
1;44568;ONGOING;2022-03-13T14:11:58;transmit invoice Team-oriented;2;User-friendly;2022-03-13T23:02:57;Gorgeous Awesome Rubber;2022-03-14T07:06:42
2;54358;ONGOING;2022-03-14T10:05:02;Tanzania Massachusetts attitude;1;Assimilated quantify;2022-03-14T04:48:15;card Soft;2022-03-14T04:01:33
3;13737;PAID_OFF;2022-03-13T22:14:58;COM;0;Awesome;2022-03-14T06:52:26;bypassing transmit violet;2022-03-14T08:17:43
4;53164;PAID_OFF;2022-03-13T15:58:08;Licensed Indian;4;multi-state Franc Kuwaiti;2022-03-13T19:30:41;Beauty;2022-03-13T22:01:47
5;49744;ONGOING;2022-03-14T06:10:05;Frozen Cove Engineer;3;Car GB;2022-03-14T05:37:57;Tools edge;2022-03-14T04:16:11
6;21544;ONGOING;2022-03-13T21:44:07;teal;10;Small yellow Bike;2022-03-13T13:51:12;Creek;2022-03-14T09:00:24
7;68051;ONGOING;2022-03-13T21:42:15;Applications Cambridgeshire;8;Intelligent implement;2022-03-14T04:27:29;back-end;2022-03-14T10:40:05
8;19104;ONGOING;2022-03-13T12:50:49;Green Money;0;index Rubber aggregate;2022-03-13T12:18:42;Metal impactful;2022-03-14T10:32:08
9;92181;PAID_OFF;2022-03-14T10:26:03;Guinea;10;navigating Mouse paradigms;2022-03-13T18:26:58;Beauty Virginia Overpass;2022-03-13T11:39:08
10;35524;PAID_OFF;2022-03-13T22:20:42;protocol;6;group Senior Technician;2022-03-14T07:19:08;Director hack;2022-03-14T04:36:58
